timestamp,amount,type,label,is_anomaly
2026-04-24 17:50:12,250.35788138891357,debit,normal,0
2026-04-24 17:51:12,603.8301903356869,debit,normal,0
2026-04-24 17:52:12,490.7541288380691,credit,normal,0
2026-04-24 17:53:12,100000.0,debit,fraud,1
2026-04-24 17:54:12,670.8208832389741,credit,normal,0
2026-04-24 17:55:12,420.70139324783247,credit,normal,0
2026-04-24 17:56:12,187.08796808392566,credit,normal,0
2026-04-24 17:57:12,275.6635555175166,debit,normal,0
2026-04-24 17:58:12,625.9377048528468,credit,normal,0
2026-04-24 17:59:12,202.66159627181634,debit,normal,0
2026-04-24 18:00:12,437.51307708446404,debit,normal,0
2026-04-24 18:01:12,542.6178043387628,debit,normal,0
2026-04-24 18:02:12,541.6737291735983,debit,normal,0
2026-04-24 18:03:12,625.7763238473663,debit,normal,0
2026-04-24 18:04:12,183.6046390331653,debit,normal,0
2026-04-24 18:05:12,657.5694862052725,debit,normal,0
2026-04-24 18:06:12,567.5545180477073,debit,normal,0
2026-04-24 18:07:12,657.013378011397,credit,normal,0
2026-04-24 18:08:12,311.24465582502717,debit,normal,0
2026-04-24 18:09:12,652.5235396095788,credit,normal,0
2026-04-24 18:10:12,313.8232603410557,debit,normal,0
2026-04-24 18:11:12,578.3871899266857,debit,normal,0
2026-04-24 18:12:12,537.3892988068583,debit,normal,0
2026-04-24 18:13:12,230.24290877193113,debit,normal,0
2026-04-24 18:14:12,728.9844515283108,credit,normal,0
2026-04-24 18:15:12,632.7824915523564,credit,normal,0
2026-04-24 18:16:12,687.3634124889634,credit,normal,0
2026-04-24 18:17:12,798.6628798853067,debit,normal,0
2026-04-24 18:18:12,100000.0,credit,fraud,1
2026-04-24 18:19:12,410.501659564163,debit,normal,0
2026-04-24 18:20:12,422.4751746059268,credit,normal,0
2026-04-24 18:21:12,451.7662532572961,debit,normal,0
2026-04-24 18:22:12,768.5767918100152,debit,normal,0
2026-04-24 18:23:12,561.5469040307443,debit,normal,0
2026-04-24 18:24:12,465.9997861193277,debit,normal,0
2026-04-24 18:25:12,126.61147787249661,credit,normal,0
2026-04-24 18:26:12,361.50509610885587,credit,normal,0
2026-04-24 18:27:12,798.1047838653907,debit,normal,0
2026-04-24 18:28:12,178.25153801614442,debit,normal,0
2026-04-24 18:29:12,360.47351682950455,credit,normal,0
2026-04-24 18:30:12,573.0148543609262,credit,normal,0
2026-04-24 18:31:12,367.4545916921751,debit,normal,0
2026-04-24 18:32:12,840.7845302975091,debit,normal,0
2026-04-24 18:33:12,347.51169269879153,debit,normal,0
2026-04-24 18:34:12,360.8140780784975,credit,normal,0
2026-04-24 18:35:12,247.79445838491299,debit,normal,0
2026-04-24 18:36:12,200000.0,debit,fraud,1
2026-04-24 18:37:12,405.66342622703735,credit,normal,0
2026-04-24 18:38:12,273.32809489564863,debit,normal,0
2026-04-24 18:39:12,790.743115301217,credit,normal,0
2026-04-24 18:40:12,600.1661443096338,credit,normal,0
2026-04-24 18:41:12,419.18970168864945,credit,normal,0
2026-04-24 18:42:12,222.15767142116488,debit,normal,0
2026-04-24 18:43:12,649.7356906301986,credit,normal,0
2026-04-24 18:44:12,205.12444839204574,credit,normal,0
2026-04-24 18:45:12,596.6556893913446,debit,normal,0
2026-04-24 18:46:12,752.5447367816091,credit,normal,0
2026-04-24 18:47:12,496.17929197041076,debit,normal,0
2026-04-24 18:48:12,397.1974004923578,credit,normal,0
2026-04-24 18:49:12,625.4765624447851,credit,normal,0
2026-04-24 18:50:12,257.23170233888465,debit,normal,0
2026-04-24 18:51:12,420.3544729606886,credit,normal,0
2026-04-24 18:52:12,270.2276360054899,debit,normal,0
2026-04-24 18:53:12,747.9157594392202,debit,normal,0
2026-04-24 18:54:12,544.5096018088338,credit,normal,0
2026-04-24 18:55:12,684.8790542669777,credit,normal,0
2026-04-24 18:56:12,447.5951448008444,debit,normal,0
2026-04-24 18:57:12,377.5512336078352,credit,normal,0
2026-04-24 18:58:12,499.2340604455446,debit,normal,0
2026-04-24 18:59:12,306.49274966158896,debit,normal,0
2026-04-24 19:00:12,275.05995949534827,debit,normal,0
2026-04-24 19:01:12,619.4952183068855,credit,normal,0
2026-04-24 19:02:12,278.2181041744144,debit,normal,0
2026-04-24 19:03:12,459.6777563857945,credit,normal,0
2026-04-24 19:04:12,803.4982243053445,debit,normal,0
2026-04-24 19:05:12,50.0,debit,normal,0
2026-04-24 19:06:12,718.1551118999193,credit,normal,0
2026-04-24 19:07:12,518.0856192261839,debit,normal,0
2026-04-24 19:08:12,524.9869636608294,credit,normal,0
2026-04-24 19:09:12,166.71750993215954,credit,normal,0
2026-04-24 19:10:12,545.6728678540678,credit,normal,0
2026-04-24 19:11:12,274.0512499489881,credit,normal,0
2026-04-24 19:12:12,424.5342772562499,debit,normal,0
2026-04-24 19:13:12,291.6073193631355,debit,normal,0
2026-04-24 19:14:12,427.9697713556744,credit,normal,0
2026-04-24 19:15:12,720.6212868064271,debit,normal,0
2026-04-24 19:16:12,538.3561313796248,debit,normal,0
2026-04-24 19:17:12,381.86526137708984,debit,normal,0
2026-04-24 19:18:12,551.7848191643476,debit,normal,0
2026-04-24 19:19:12,639.738468323302,credit,normal,0
2026-04-24 19:20:12,88.41822932710721,credit,normal,0
2026-04-24 19:21:12,425.3776476379678,credit,normal,0
2026-04-24 19:22:12,366.75242763735616,credit,normal,0
2026-04-24 19:23:12,354.19908067930777,credit,normal,0
2026-04-24 19:24:12,498.8181054566006,debit,normal,0
2026-04-24 19:25:12,166.30421829869215,credit,normal,0
2026-04-24 19:26:12,196.69624643870634,credit,normal,0
2026-04-24 19:27:12,428.97577891771846,debit,normal,0
2026-04-24 19:28:12,268.4362870597863,debit,normal,0
2026-04-24 19:29:12,150000.0,credit,fraud,1
2026-04-24 19:30:12,309.3431229032435,credit,normal,0
2026-04-24 19:31:12,834.7458580579173,credit,normal,0
2026-04-24 19:32:12,439.9525766188383,credit,normal,0
2026-04-24 19:33:12,246.36033373718834,debit,normal,0
2026-04-24 19:34:12,480.62884753967563,credit,normal,0
2026-04-24 19:35:12,543.140903474824,debit,normal,0
2026-04-24 19:36:12,539.0430319083971,debit,normal,0
2026-04-24 19:37:12,386.1378005270466,debit,normal,0
2026-04-24 19:38:12,605.31597581927,debit,normal,0
2026-04-24 19:39:12,200000.0,debit,fraud,1
2026-04-24 19:40:12,257.3826260917813,debit,normal,0
2026-04-24 19:41:12,145.79727475432168,debit,normal,0
2026-04-24 19:42:12,50.0,credit,normal,0
