timestamp,cpu_usage,api_latency,error_rate,disk_io
2026-04-24 17:50:12.486559,90,591,16.08096853626005,257
2026-04-24 17:51:12.486559,55,360,18.160093288820182,400
2026-04-24 17:52:12.486559,73,419,18.875954664151298,449
2026-04-24 17:53:12.486559,58,224,19.851330109457106,285
2026-04-24 17:54:12.486559,63,411,2.7172566679207244,481
2026-04-24 17:55:12.486559,78,458,15.550938966919514,424
2026-04-24 17:56:12.486559,81,561,6.19229392902624,402
2026-04-24 17:57:12.486559,52,249,19.31650656754058,157
2026-04-24 17:58:12.486559,58,588,10.619835755270131,147
2026-04-24 17:59:12.486559,52,580,19.352265102541175,328
2026-04-24 18:00:12.486559,72,405,8.972158832270296,398
2026-04-24 18:01:12.486559,80,273,10.67537452925135,261
2026-04-24 18:02:12.486559,64,184,5.396640735771117,317
2026-04-24 18:03:12.486559,77,490,14.175894791183392,437
2026-04-24 18:04:12.486559,95,272,16.29515000389943,450
2026-04-24 18:05:12.486559,41,441,2.3966992958830713,434
2026-04-24 18:06:12.486559,47,556,16.061879471321618,330
2026-04-24 18:07:12.486559,72,339,14.647812684673735,392
2026-04-24 18:08:12.486559,84,159,14.200068002138995,335
2026-04-24 18:09:12.486559,59,379,15.729697390613806,297
2026-04-24 18:10:12.486559,71,547,5.869451443264251,345
2026-04-24 18:11:12.486559,54,492,17.95995792681999,298
2026-04-24 18:12:12.486559,68,535,18.134554717649635,349
2026-04-24 18:13:12.486559,46,263,7.592054063513903,248
2026-04-24 18:14:12.486559,49,548,17.429358168784475,337
2026-04-24 18:15:12.486559,66,583,1.2998541461143631,179
2026-04-24 18:16:12.486559,92,495,19.74347789403028,438
2026-04-24 18:17:12.486559,48,297,7.263636698728353,176
2026-04-24 18:18:12.486559,72,409,19.27299693114023,367
2026-04-24 18:19:12.486559,69,248,12.205844723797824,435
2026-04-24 18:20:12.486559,81,388,9.592276014359882,244
2026-04-24 18:21:12.486559,84,545,10.184752313944344,253
2026-04-24 18:22:12.486559,84,589,5.4028362541268375,318
2026-04-24 18:23:12.486559,40,287,13.653535949726683,179
2026-04-24 18:24:12.486559,56,574,16.992474659440923,406
2026-04-24 18:25:12.486559,44,538,14.325560161675988,361
2026-04-24 18:26:12.486559,48,467,10.985652128922501,245
2026-04-24 18:27:12.486559,82,327,13.740945946984013,462
2026-04-24 18:28:12.486559,65,427,8.987757171793238,251
2026-04-24 18:29:12.486559,62,185,6.25924424900875,107
2026-04-24 18:30:12.486559,75,489,8.908606932303915,482
2026-04-24 18:31:12.486559,93,247,4.396385891344588,486
2026-04-24 18:32:12.486559,57,451,16.463236706820158,148
2026-04-24 18:33:12.486559,59,157,17.290423588111594,425
2026-04-24 18:34:12.486559,41,295,2.574522039677374,475
2026-04-24 18:35:12.486559,97,201,14.28808212251814,298
2026-04-24 18:36:12.486559,91,300,1.5313497479264693,273
2026-04-24 18:37:12.486559,78,555,12.683910171345659,371
2026-04-24 18:38:12.486559,93,252,1.0446947710263044,333
2026-04-24 18:39:12.486559,78,242,6.441756371759471,184
2026-04-24 18:40:12.486559,42,569,19.94427730752429,314
2026-04-24 18:41:12.486559,79,519,12.294762396929302,130
2026-04-24 18:42:12.486559,66,222,9.528647972690013,467
2026-04-24 18:43:12.486559,69,237,9.838011369449308,212
2026-04-24 18:44:12.486559,96,438,0.7628750037916276,475
2026-04-24 18:45:12.486559,40,379,18.936031877577488,302
2026-04-24 18:46:12.486559,47,440,8.05315803740095,299
2026-04-24 18:47:12.486559,62,563,18.6435816243726,376
2026-04-24 18:48:12.486559,82,287,17.619560991417693,227
2026-04-24 18:49:12.486559,50,293,1.918254557233705,298
2026-04-24 18:50:12.486559,97,366,18.091221649997166,193
2026-04-24 18:51:12.486559,70,236,12.884266052718623,117
2026-04-24 18:52:12.486559,82,214,3.6968721996842335,144
2026-04-24 18:53:12.486559,41,577,8.637950938263623,297
2026-04-24 18:54:12.486559,63,391,15.01624901247196,326
2026-04-24 18:55:12.486559,72,527,16.793009057670332,393
2026-04-24 18:56:12.486559,71,268,18.60535714242349,211
2026-04-24 18:57:12.486559,53,251,16.562752056818358,139
2026-04-24 18:58:12.486559,81,381,4.367082444598553,293
2026-04-24 18:59:12.486559,77,479,15.689930146198387,474
2026-04-24 19:00:12.486559,80,540,13.345485298505773,386
2026-04-24 19:01:12.486559,57,391,12.69174199017428,477
2026-04-24 19:02:12.486559,82,458,11.555396562775424,127
2026-04-24 19:03:12.486559,61,525,7.669705687255206,425
2026-04-24 19:04:12.486559,48,393,7.147028744181618,192
2026-04-24 19:05:12.486559,82,558,12.755290162106451,383
2026-04-24 19:06:12.486559,65,305,12.897430765774516,335
2026-04-24 19:07:12.486559,84,195,7.972119062443994,470
2026-04-24 19:08:12.486559,92,381,12.4742135417387,266
2026-04-24 19:09:12.486559,97,162,16.568769816009453,188
2026-04-24 19:10:12.486559,59,442,10.343570900115402,471
2026-04-24 19:11:12.486559,53,550,12.144098401349076,447
2026-04-24 19:12:12.486559,59,427,10.509710232329274,219
2026-04-24 19:13:12.486559,52,403,0.08007340693204412,243
2026-04-24 19:14:12.486559,54,499,1.4340608998250937,330
2026-04-24 19:15:12.486559,47,188,11.883029478486723,286
2026-04-24 19:16:12.486559,40,375,12.30771729423731,132
2026-04-24 19:17:12.486559,75,460,17.466199393374612,440
2026-04-24 19:18:12.486559,84,327,15.132404888989011,367
2026-04-24 19:19:12.486559,74,390,4.758140383107962,415
2026-04-24 19:20:12.486559,48,521,10.494725304675374,117
2026-04-24 19:21:12.486559,80,347,17.734823729309323,416
2026-04-24 19:22:12.486559,55,159,11.11033557825198,488
2026-04-24 19:23:12.486559,90,483,10.665669162316446,252
2026-04-24 19:24:12.486559,48,252,19.84623129935263,442
