timestamp,amount,type,label,is_anomaly,log_amount,anomaly
2026-04-24 17:53:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-24 18:18:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-24 18:36:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-24 19:05:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-24 19:29:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-24 19:39:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-24 19:42:12,50.0,credit,normal,0,3.912023005428146,1
2026-04-24 19:46:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-24 19:49:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-24 20:03:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-24 20:26:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-24 20:35:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-24 20:57:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-24 20:59:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-24 21:28:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-24 22:51:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-24 22:54:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-24 23:16:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-24 23:43:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-25 00:01:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-25 00:11:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-25 00:12:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-25 00:45:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-25 00:48:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 00:53:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 01:04:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-25 01:49:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-25 02:09:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 02:16:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 02:29:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 04:21:12,50.0,credit,normal,0,3.912023005428146,1
2026-04-25 04:33:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-25 05:14:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-25 06:08:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 06:44:12,50.0,credit,normal,0,3.912023005428146,1
2026-04-25 07:34:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 07:50:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 07:51:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 07:52:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-25 08:30:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-25 08:33:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 08:36:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 09:46:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 09:50:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-25 09:53:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 11:40:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-25 12:08:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 12:17:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 12:44:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 13:01:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 13:15:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 13:24:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 13:32:12,50.0,debit,normal,0,3.912023005428146,1
2026-04-25 13:49:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 13:57:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 14:01:12,150000.0,credit,fraud,1,11.918390573078392,1
2026-04-25 14:05:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 14:28:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 14:59:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 15:17:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 15:24:12,100000.0,debit,fraud,1,11.512925464970229,1
2026-04-25 16:21:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 17:07:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 17:22:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 18:07:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 19:16:12,150000.0,debit,fraud,1,11.918390573078392,1
2026-04-25 19:48:12,200000.0,debit,fraud,1,12.206072645530174,1
2026-04-25 20:03:12,100000.0,credit,fraud,1,11.512925464970229,1
2026-04-25 20:14:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 20:42:12,200000.0,credit,fraud,1,12.206072645530174,1
2026-04-25 20:50:12,200000.0,credit,fraud,1,12.206072645530174,1
